"","miRNA_ID","hip_Control_1.x","hip_Control_2.x","hip_Control_3.x","hip_PPCE_1.x","hip_PPCE_2.x","hip_PPCE_3.x","hip_Control_1.y","hip_Control_2.y","hip_Control_3.y","hip_PPCE_1.y","hip_PPCE_2.y","hip_PPCE_3.y"
"1","rno-miR-1188-3p",0,1,1,1,0,1,0,0.160406880306337,0.148017366899046,0.124866585525542,0,0.154048247972025
"2","rno-miR-1188-5p",26,7,10,16,28,24,3.82471055274439,1.12284816214436,1.48017366899046,1.99786536840867,3.63260439881768,3.6971579513286
"3","rno-miR-1193-3p",50,41,65,76,81,71,7.35521260143152,6.57668209255982,9.62112884843796,9.48986049994119,10.508605582294,10.9374256060138
"4","rno-miR-1193-5p",6,3,0,6,8,2,0.882625512171782,0.481220640919012,0,0.749199513153252,1.03788697109077,0.30809649594405
"5","rno-miR-127-3p",112092,92352,96211,171056,134988,115487,16489.2098183932,14813.8962100509,14240.8988867241,21359.1786536571,17512.7858067,17790.5700135453
"6","rno-miR-127-5p",4527,4140,4050,4895,5595,6071,665.940948933609,664.084484468236,599.470335941135,611.221936147528,725.872200406604,935.226913438164
"7","rno-miR-134-3p",36,29,45,72,67,53,5.29575307303069,4.65179952888378,6.66078151045705,8.99039415783902,8.69230338288516,8.16455714251733
"8","rno-miR-134-5p",1717,1451,1868,2317,1971,1900,252.578000733158,232.750383324495,276.496441367417,289.315878662681,255.709402502487,292.691671146848
"9","rno-miR-136-3p",14332,14142,12889,15106,17345,16507,2108.29814007433,2268.47410129222,1907.7958419618,1886.23464094884,2250.26868919617,2542.87442927422
"10","rno-miR-136-5p",733,738,713,719,953,831,107.827416736986,118.380277666077,105.536382599019,89.7790749928647,123.638285431187,128.014094064753
"11","rno-miR-154-3p",20,25,13,26,36,42,2.94208504057261,4.01017200765843,1.92422576968759,3.24653122366409,4.67049136990844,6.47002641482505
"12","rno-miR-154-5p",404,370,431,408,379,612,59.4301178195666,59.3505457133448,63.7954851334886,50.9455668944211,49.169895255425,94.2775277588794
"13","rno-miR-299a-3p",301,301,301,403,383,336,44.2783798606177,48.2824709722075,44.5532274366127,50.3212339667934,49.6888387409704,51.7602113186004
"14","rno-miR-299a-5p",33,34,26,34,73,68,4.8544403169448,5.45383393041547,3.84845153937518,4.24546390786843,9.47071861120323,10.4752808620977
"15","rno-miR-299b-3p",17,16,14,18,31,48,2.50077228448672,2.56651008490139,2.07224313658664,2.24759853945976,4.02181201297671,7.3943159026572
"16","rno-miR-299b-5p",183,199,190,252,299,244,26.9200781212393,31.9209691809611,28.1232997108187,31.4663795524366,38.7910255445173,37.5877725051741
"17","rno-miR-300-3p",10539,7916,9081,12611,16610,9934,1550.33171212974,1269.78086450497,1344.14570881023,1574.69251006261,2154.9128237272,1530.3152953541
"18","rno-miR-300-5p",135,99,96,172,154,91,19.8590740238651,15.8802811503274,14.2096672223084,21.4770527103932,19.9793241934972,14.0183905654543
"19","rno-miR-3072",33,32,35,49,39,67,4.8544403169448,5.13302016980279,5.1806078414666,6.11846269075156,5.05969898406748,10.3212326141257
"20","rno-miR-323-3p",5136,3596,4456,6500,6712,5483,755.527438419045,576.823141581589,659.565386902147,811.632805916023,870.787168745152,844.646543630614
"21","rno-miR-323-5p",70,35,34,95,62,65,10.2972976420041,5.6142408107218,5.03259047456755,11.8623256249265,8.04362402595343,10.0131361181816
"22","rno-miR-329-3p",898,696,836,1022,1000,1798,132.09961832171,111.643188693211,123.742518727602,127.613650407104,129.735871386346,276.978749853701
"23","rno-miR-329-5p",1855,1937,1875,2201,2561,1993,272.878387513109,310.708127153375,277.53256293571,274.831354741718,332.253566620431,307.018158208246
"24","rno-miR-337-3p",12,13,13,10,34,50,1.76525102434356,2.08528944398238,1.92422576968759,1.24866585525542,4.41101962713575,7.70241239860126
"25","rno-miR-337-5p",977,712,917,1246,1297,1075,143.720854231972,114.209698778112,135.731925446425,155.583765564825,168.26742518809,165.601866569927
"26","rno-miR-341",9309,7009,7612,11047,12391,8535,1369.39348213452,1124.29182406712,1126.70819683553,1379.40117030066,1607.55718234821,1314.80179644123
"27","rno-miR-3543",14568,13533,14078,16441,17562,15290,2143.01474355309,2170.78631118566,2083.78849120476,2052.93153262544,2278.421373287,2355.39771149226
"28","rno-miR-3544",75,59,63,109,91,75,11.0328189021473,9.46400593807389,9.32509411463987,13.6104578222841,11.8059642961575,11.5536185979019
"29","rno-miR-3576",472,418,418,474,574,520,69.4332069575135,67.0500759680489,61.871259363801,59.1867615391069,74.4683901757624,80.105088945453
"30","rno-miR-3578",2863,2383,2622,3419,4238,3409,421.159473557969,382.249595770002,388.101536009297,426.918855911828,549.820622935333,525.150477336634
"31","rno-miR-3579",1140,963,911,1386,1295,1958,167.698847312639,154.471825735003,134.843821245031,173.065087538401,168.007953445318,301.626469529225
